statement_number,speaker,timestamp,statement,speaker_type,night,debate
0,Holt,,"Over the course of the next two hours, we will hear from everyone. We’d also like to ask the audience to keep their reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight.",proctor,1,1
1,Guthrie,,"All right, so with that business out of the way, we want to get to it, and we’ll start this evening with Senator Elizabeth Warren. Senator, good evening to you.",proctor,1,1
2,Warren,,Thank you. It’s good to be here.,candidate,1,1
3,Guthrie,,"You have many plans. Free college, free childcare, government healthcare, cancellation of student debt, new taxes, new regulations, the breakup of major corporations, but this comes at a time when 71% of Americans say the economy is doing well, including 60% of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?",proctor,1,1
4,Warren,,"I think of it this way. Who is this economy really working for? It’s doing great for a thinner and thinner slice at the top. It’s doing great for giant drug companies. It’s just not doing great for people who are trying to get a prescription filled. It’s doing great for people who want to invest in private prisons, just not for the African Americans and Latinx whose families were torn apart, whose lives are destroyed and whose communities are ruined.",candidate,1,1
5,Warren,,"It’s doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us. When you’ve got a government, when you’ve got an autonomy that does great for those with money and isn’t doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on, and we need to make structural change in our government, in our economy, and in our country.",candidate,1,1
6,Guthrie,,"Senator Klobuchar, you called programs like free college, “Something you might do if you were quote a magic genie.” To be blunt, are the government programs and benefits that some of your rivals are offering, giving your voters and people a false sense of what’s actually achievable?",proctor,1,1
7,Klobuchar,,"Well, first the economy. We know that not everyone is sharing in this prosperity and Donald Trump just sits in the White House and gloats about what’s going on when you have so many people that are having trouble affording college and having trouble affording their premiums. I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one, and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education. My own dad and my sister got their first degrees with community college. There’s many paths to success, as well as certifications.",candidate,1,1
8,Klobuchar,,"Secondly, I’d use Pell Grants. I’d double them from $6,000 to $12,000 a year and expand it to the number of families that get covered up to families that make up to $100,000. Then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this, if billionaires can pay off their yachts, students should be able to pay off their student loans.",candidate,1,1
9,Guthrie,,"That’s time. Thank you. Congressman O’Rourke. What we’ve just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein, some Democrats want a marginal individual tax rate of 70% on the very highest earners, those making more than $10 million a year. Would you support that? If not, what would your top individual rate be?",proctor,1,1
10,O'Rourke,,"This economy has got to work for everyone and right now we know that it isn’t, and it’s going to take all of us coming together to make sure that it does, [foreign language 00:03:47] Right now we have a system that favors those who can pay for access and outcomes. That’s how you explain an economy that is rigged to corporations and to the very wealthiest, a $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality. A new democracy that is revived because we’ve returned power to the people, no packs, no gerrymandering, automatic and same day voter registration to bring in more voters and a new voting rights act to get rid of the barriers that are in place now.",candidate,1,1
11,Guthrie,,Congressman O’Rourke.,proctor,1,1
12,O'Rourke,,That’s how we each have a voice in our democracy and make this economy work for everybody.,candidate,1,1
13,Guthrie,,"Congressman. That’s time sir. I’ll give you 10 seconds to answer if you want to answer the direct question. Would you support a 70% individual marginal tax rate? Yes, no or pass.",proctor,1,1
14,O'Rourke,,I would support a tax rate and a tax code that is fair to everyone. Tax capital-,candidate,1,1
15,Guthrie,,70%?,proctor,1,1
16,O'Rourke,,… at the same rate that you tax ordinary income. Take that corporate tax rate up to 28%-,candidate,1,1
17,Guthrie,,Okay. That’s time.,proctor,1,1
18,O'Rourke,,… you would generate the revenues you need to pay for the programs we’re talking about.,candidate,1,1
